id,roadname,direction,status,speeddiff,roadID,x,y
0,高新大道,从关葛道路到光谷三路,2,-10.177449799286563,0,114.4975020398045,30.49183097950778
1,高新大道,从关葛道路到光谷三路,2,-10.177449799286563,0,114.49731834239535,30.49183992680932
2,高新大道,从关葛道路到光谷三路,2,-10.177449799286563,0,114.49205734687135,30.491965324410987
3,高新大道,从关葛道路到光谷三路,2,-10.177449799286563,0,114.48984394143672,30.491945307974483
4,高新大道,从关葛道路到光谷三路,2,-10.177449799286563,0,114.48910112576453,30.491912598875352
5,高新大道,从关葛道路到光谷三路,2,-10.177449799286563,0,114.48844965874245,30.491876365678188
6,高新大道,从关葛道路到光谷三路,2,-10.177449799286563,0,114.48804412525281,30.49183886762373
7,高新大道,从关葛道路到光谷三路,2,-10.177449799286563,0,114.48741575160737,30.491770316014023
8,高新大道,从关葛道路到光谷三路,2,-10.177449799286563,0,114.48661172056615,30.491647760194382
9,高新大道,从关葛道路到光谷三路,2,-10.177449799286563,0,114.48590004219545,30.491525482457707
10,高新大道,从关葛道路到光谷三路,2,-10.177449799286563,0,114.4848119558231,30.49131831870133
11,高新大道,从关葛道路到光谷三路,2,-10.177449799286563,0,114.48170334084293,30.490681748906262
12,高新大道,从关葛道路到光谷三路,2,-10.177449799286563,0,114.4800110528142,30.490419383418544
13,高新大道,从关葛道路到光谷三路,2,-10.177449799286563,0,114.4787925450691,30.490251894974293
14,高新大道,从关葛道路到光谷三路,2,-10.177449799286563,0,114.47799660931567,30.490165719983434
15,高新大道,从关葛道路到光谷三路,2,-10.177449799286563,0,114.47765234080353,30.490145633741033
16,高新大道,从关葛道路到光谷三路,2,-10.177449799286563,0,114.47520939449677,30.48996129606422
17,神墩一路,从神墩一路西口到神墩一路东口,1,2.190853260367195,1,114.49223338507629,30.487599186734005
18,神墩一路,从神墩一路西口到神墩一路东口,1,2.190853260367195,1,114.50001490982383,30.487599591921672
19,神墩一路,从神墩一路西口到神墩一路东口,1,2.190853260367195,1,114.5079486098592,30.48755259274258
20,神墩一路,从神墩一路西口到神墩一路东口,1,2.190853260367195,1,114.51438809284458,30.48754068012077
21,神墩一路,从神墩一路西口到神墩一路东口,1,2.190853260367195,1,114.51561347673977,30.487530751243177
22,神墩一路,从神墩一路西口到神墩一路东口,1,2.190853260367195,1,114.5175192310239,30.487526595868815
23,神墩一路,从神墩一路西口到神墩一路东口,1,2.190853260367195,1,114.52177601395165,30.487515387600457
24,神墩一路,从神墩一路西口到神墩一路东口,1,2.190853260367195,1,114.52210513742178,30.487521974070653
25,神墩一路,从神墩一路西口到神墩一路东口,1,2.190853260367195,1,114.52260283206618,30.487517614136323
26,神墩一路,从神墩一路西口到神墩一路东口,1,2.190853260367195,1,114.52839804604689,30.487506083413184
27,神墩一路,从神墩一路西口到神墩一路东口,1,2.190853260367195,1,114.52879532641934,30.487503293389143
28,神墩一路,从神墩一路西口到神墩一路东口,1,2.190853260367195,1,114.53463554211152,30.487490932058193
29,神墩一路,从神墩一路西口到神墩一路东口,1,2.190853260367195,1,114.53539281694685,30.487488819060772
30,神墩一路,从神墩一路西口到神墩一路东口,1,2.190853260367195,1,114.53569170891531,30.48748951915047
31,神墩一路,从神墩一路西口到神墩一路东口,1,2.190853260367195,1,114.53813989309923,30.48744946173115
32,神墩一路,从神墩一路西口到神墩一路东口,1,2.190853260367195,1,114.54091676146756,30.48740792727805
33,神墩一路,从神墩一路西口到神墩一路东口,1,2.190853260367195,1,114.54139909696848,30.48739947241914
34,神墩一路,从神墩一路西口到神墩一路东口,1,2.190853260367195,1,114.5416668340951,30.4873961487715
35,神墩一路,从神墩一路西口到神墩一路东口,1,2.190853260367195,1,114.54168989774392,30.487392399277375
36,神墩一路,从神墩一路西口到神墩一路东口,1,2.190853260367195,1,114.54171998000322,30.4873962626702
37,神墩一路,从神墩一路西口到神墩一路东口,1,2.190853260367195,1,114.54205690198688,30.487400881399587
38,神墩一路,从神墩一路西口到神墩一路东口,1,2.190853260367195,1,114.5421110501041,30.48739709781636
39,神墩一路,从神墩一路西口到神墩一路东口,1,2.190853260367195,1,114.54508598113854,30.48741667300977
